imageX,imageY,umapX,umapY,cluster,nCount
438.95009561300003,385.972469675,379.39599019332934,392.50481158493176,1,13069
143.958695044,441.635121489,353.7174509172063,148.24497729538103,5,37448
410.49914835000004,163.37349753200002,181.8705545072179,146.77566319702288,6,28475
108.382102187,342.70224498100004,385.2728710774999,63.3162382244887,11,39718
122.63339337500001,367.435464108,443.0818067197423,71.73441678283831,11,33392
76.41996724,460.22376216900005,313.5845453743558,160.84131032226702,5,20955
421.135981628,454.027548609,349.521760762177,458.1056717037978,8,35538
175.920829991,336.50603142100005,152.88128715797473,173.41353923080584,4,35481
225.69707892300002,398.36489679500005,290.55376213832903,249.3668484687628,7,18859
371.411367809,478.76076773600005,429.5574532155614,530.4863098263563,9,67119
90.61962331500001,435.490543042,342.7673683766942,144.4789054989638,5,14964
357.16007662100003,293.235806727,546.6841803197484,461.6610768437209,0,28711
399.810679959,478.76076773600005,357.0667074327092,439.58790332077166,8,38834
286.110161133,491.10155974300005,279.65952616973925,274.22540664671084,7,25667
325.19794167400005,484.95698129600004,422.09331852241564,524.8904827236952,9,43034
478.037876154,219.036149346,444.17997461601306,396.71199351547375,1,5718
314.561108396,355.094672101,523.3182774190526,499.1921785473647,0,30768
119.070570578,472.56455417600006,290.5091212396245,162.28191882370135,5,15040
143.958695044,355.094672101,336.34872448488284,202.36362248657363,5,28173
449.586928891,515.83477887,278.1366572980504,437.138176262361,10,55127
268.34768226100005,460.22376216900005,260.8745918874364,317.8424957394423,10,27223
271.910505058,416.90190236200004,83.12071424766589,274.26211267707964,2,37624
296.746994411,225.23236290600002,123.4095917348485,152.4961116909804,4,32689
172.358007194,392.168683235,436.15335089012194,73.56319457290789,11,19170
410.49914835000004,348.898458541,511.44660574241686,437.8191712498488,0,15130
417.62479394400003,336.50603142100005,496.84058290763903,438.52162390945574,0,21293
389.17384668100004,163.37349753200002,212.92782884880114,176.72150760887286,6,18039
485.111886635,268.5025876,516.1551700238805,264.3227097764434,14,20713
321.635118877,367.435464108,527.1437750463109,515.2495744824232,0,31887
453.14975168800004,299.432020287,451.4599667195897,394.5138934254469,1,3382
357.16007662100003,404.56111035500004,522.837863982163,520.428598225099,0,26981
385.611023884,478.76076773600005,436.317335188828,510.62935620544573,9,47046
94.18244611200001,429.294329482,361.3210247163396,125.46396285293719,7,3118
275.421692742,348.898458541,48.00611597343493,271.40414744613787,2,26101
435.387272816,404.56111035500004,382.91026216789294,392.83411532638684,1,2928
470.91223056,206.64372222600002,20.525394499741083,231.70235484836715,2,35940
136.83304945,379.827891228,441.94786411567736,74.36313658950945,11,31353
257.65921387000003,280.84337960700003,27.51830679222155,207.91712433097976,3,40424
282.547338336,287.039593167,40.585051596603876,248.50273013113159,2,44461
382.04820108700005,163.37349753200002,252.0124540929418,242.63458877800124,7,11618
410.49914835000004,237.57315491300002,55.039440215073114,237.00149983165878,2,26540
485.111886635,293.235806727,455.8575854901891,356.3720706105055,1,12310
186.60929838200002,416.90190236200004,452.10136038108874,374.5509627461256,1,10209
193.683308863,367.435464108,171.39768463417101,175.40977627037188,6,32491
225.69707892300002,249.965582033,178.2572732572179,158.35107594726702,6,30457
406.936325553,392.168683235,421.76558834358264,396.0842970013441,1,11609
151.032705525,355.094672101,327.9921249751668,203.98497015236038,5,17264
186.60929838200002,256.11016048,220.3183756475072,198.28928738830706,6,17154
478.037876154,379.776256115,417.94658762260485,332.2331133484663,1,3446
428.261627222,243.76936847300001,34.19717413230944,291.35976761577746,2,15861
478.037876154,181.910503099,79.4710741643529,156.95089131591936,4,38219
261.222036667,472.56455417600006,278.10259026332903,273.9866438507857,7,10459
161.721173916,299.432020287,217.93799263282824,192.9841044544997,6,25063
126.196216172,423.09811592200003,360.9466270808797,161.9832280278029,5,20605
478.037876154,429.294329482,412.34927040382433,392.77743130920544,1,14915
417.62479394400003,324.16523941400004,537.2612820272069,444.0492513775649,0,19873
325.19794167400005,225.23236290600002,45.29799085899401,170.01015573738238,3,33421
403.37350275600005,361.23925054800003,524.0703688268285,474.9671342968764,0,20722
367.84854501200005,460.172127056,469.18151241584826,511.50432854889056,9,23652
318.07229608,410.70568880200005,495.74465614601183,515.9924390911879,0,31045
403.37350275600005,175.71428953900002,158.67497783943224,132.23683863876482,4,22440
104.87091450300001,435.490543042,338.8181777004819,154.51421767471453,5,22865
335.886410065,404.56111035500004,518.440924704514,479.98107701538225,0,26476
346.52324334300005,225.23236290600002,31.76590067192126,164.71222668884417,3,38176
446.02410609400005,200.447508666,37.910042822800165,162.4368789791884,3,31506
307.435462802,219.036149346,131.59619432731677,152.49949723480364,4,28828
410.49914835000004,410.70568880200005,411.60198909088183,389.79727059600964,1,4064
403.37350275600005,385.972469675,519.9019299153905,476.62509709594866,0,17839
215.008610532,367.435464108,111.00216966911364,173.68014484642168,4,23783
225.69707892300002,373.631677668,118.25033289238024,184.09018546341082,4,28256
218.571433329,225.23236290600002,252.46245724006704,240.96611469982284,7,12838
463.786584966,528.22720599,271.44051951213885,432.9363825917067,10,33241
339.397597749,299.432020287,544.0471277837377,464.38680917022845,0,24889
478.037876154,367.435464108,416.86963897987414,337.0803359150709,1,6118
293.235806727,416.90190236200004,75.50924879356432,287.45990425346514,2,28705
232.771089404,311.772812294,44.99705892845202,240.28403788803237,2,47855
403.37350275600005,447.831335049,456.80461984916735,508.7240579724135,9,19642
403.37350275600005,150.981070412,263.0197570924382,244.55767899749893,7,9407
406.936325553,293.235806727,462.0404468183141,392.5793650746168,1,11324
222.13425612600003,404.56111035500004,268.24822884841967,259.52506542204037,7,14884
310.99828559900004,200.447508666,174.35122591301013,143.55454474685808,6,32311
172.358007194,256.11016048,293.1966738109212,245.55297672746795,7,11004
481.600698951,497.29777330300004,330.82420688911486,452.8951767086806,8,30083
97.745268909,460.22376216900005,292.4845383767705,159.99563962219378,5,14808
268.34768226100005,447.831335049,242.79612165733388,330.7825151085677,10,52233
318.07229608,299.432020287,456.99380499168444,390.4635670780958,1,7894
350.08606614,293.235806727,535.8140335683446,446.58874303100725,0,23152
179.483652788,317.969025854,134.82731443687487,176.8444421887221,4,28989
360.722899418,299.432020287,536.4810333852391,450.188827812654,0,25475
463.786584966,441.635121489,361.34016078754473,450.1219752430739,8,30403
215.008610532,441.635121489,444.23774343772936,376.7156127095045,12,9400
396.29949227500003,237.57315491300002,46.631871283493524,241.6773471236052,2,24425
335.886410065,441.635121489,478.33626133247424,526.65497094391,0,19921
321.635118877,404.56111035500004,503.8779125814061,524.0950945019545,0,27662
456.712574485,379.827891228,454.5376287107091,368.93909007309094,12,7699
335.886410065,491.10155974300005,372.93146711631823,422.2568276524367,8,23389
200.808954457,429.294329482,427.18399626060534,365.822041332704,1,8036
318.07229608,385.972469675,510.58986049934435,500.0875833630385,0,26076
335.83477495200003,293.235806727,485.0173936490636,415.8239606022658,0,22417
364.285722215,429.294329482,500.95517498298693,519.8493602871717,0,20679
247.02238059200002,249.965582033,116.4649592046361,176.67291194198748,4,24302
463.786584966,317.969025854,436.59973007484484,364.2842116951765,1,1278
385.611023884,243.76936847300001,41.99987512870837,247.59963035581725,2,21637
211.445787735,225.23236290600002,252.48597127243093,244.62049186227935,7,12233
239.89673499800003,262.30637404000004,85.00548464103747,170.41754156349322,4,32012
151.032705525,466.368340616,290.07306259914446,166.23706847427508,5,8656
403.37350275600005,237.57315491300002,51.40682321830798,242.4906674027266,2,20846
168.84681951000002,447.831335049,335.40093612714816,166.56422048805376,5,13774
79.982790037,441.635121489,344.0750331883054,143.295300304872,5,11058
364.285722215,231.376941353,36.93324190422106,191.61310821769854,3,35197
403.37350275600005,348.898458541,508.0198631887059,433.010351955873,0,21041
186.60929838200002,280.84337960700003,198.1442199353795,179.40330535171648,6,21692
435.387272816,355.04303698800004,458.34761720939684,366.01163178680554,12,10007
87.056800518,317.969025854,326.79723699434805,167.70489841697832,5,13827
165.28399671300002,330.36145297400003,184.33002096458483,182.30885893104693,6,26537
247.02238059200002,460.22376216900005,278.97356611534167,277.6287379860701,7,12141
446.02410609400005,348.898458541,419.184504569016,352.00795561073437,1,7062
172.358007194,379.827891228,357.9610185031514,215.03616601226943,5,29650
360.722899418,398.36489679500005,491.7246804837804,479.61605817077776,0,25363
378.48537829000003,429.294329482,487.5880585317235,507.1977260708632,0,21844
